descricaolocal,zona,mes,estado_carro,exposicao_local,fabricante_celular,peridoocorrencia,sexo,descr_cor_veiculo,tipo_veiculo,tipo_crime
VIA PUBLICA,LESTE,11,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Vermelho,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,OESTE,6,SEMI-NOVO,RISCO ALTO PLUS,,A TARDE,,Branco,MOTO,Roubo Veiculo
VIA PUBLICA,LESTE,5,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,8,SEMI-NOVO,RISCO ALTO PLUS,,A TARDE,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,NORTE,11,SEMI-NOVO,RISCO ALTO PLUS,,A TARDE,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,5,VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Vermelho,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,12,SEMI-NOVO,RISCO ALTO PLUS,,A TARDE,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,OESTE,10,SEMI-VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Vermelho,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,5,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Preta,MOTO,Roubo Veiculo
VIA PUBLICA,SUL,1,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Preta,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,OESTE,4,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,NORTE,11,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,2,SEMI-VELHO,RISCO ALTO PLUS,,A TARDE,,Verde,MOTO,Roubo Veiculo
VIA PUBLICA,SUL,10,NOVO,RISCO ALTO PLUS,,PELA MANHA,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,11,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Vermelho,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,12,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Verde,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,1,VELHO,RISCO ALTO PLUS,,A TARDE,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,NORTE,11,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Verde,MOTO,Roubo Veiculo
VIA PUBLICA,LESTE,8,NOVO,RISCO ALTO PLUS,,DE MADRUGADA,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,NORTE,1,SEMI-NOVO,RISCO ALTO PLUS,,PELA MANHA,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,7,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Vermelho,MOTO,Roubo Veiculo
VIA PUBLICA,NORTE,8,SEMI-NOVO,RISCO ALTO PLUS,,PELA MANHA,,Branco,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,OESTE,6,SEMI-VELHO,RISCO ALTO PLUS,,PELA MANHA,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,3,SEMI-NOVO,RISCO ALTO PLUS,,PELA MANHA,,Branco,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,LESTE,5,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Cinza,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,OESTE,2,NOVO,RISCO ALTO PLUS,,A NOITE,,Preta,MOTO,Roubo Veiculo
VIA PUBLICA,LESTE,8,NOVO,RISCO ALTO PLUS,,PELA MANHA,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,NORTE,10,SEMI-VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Azul,MOTO,Roubo Veiculo
VIA PUBLICA,LESTE,5,SEMI-NOVO,RISCO ALTO PLUS,,A TARDE,,Cinza,MOTO,Roubo Veiculo
VIA PUBLICA,LESTE,11,NOVO,RISCO ALTO PLUS,,A NOITE,,Branco,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,10,SEMI-VELHO,RISCO ALTO PLUS,,PELA MANHA,,Amarelo,MOTO,Roubo Veiculo
VIA PUBLICA,SUL,5,SEMI-NOVO,RISCO ALTO PLUS,,DE MADRUGADA,,Cinza,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,10,SEMI-NOVO,RISCO ALTO PLUS,,A NOITE,,Cinza,MOTO,Roubo Veiculo
VIA PUBLICA,LESTE,7,VELHO,RISCO ALTO PLUS,,PELA MANHA,,Azul,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,LESTE,6,SEMI-VELHO,RISCO ALTO PLUS,,PELA MANHA,,Branco,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,NORTE,12,SEMI-VELHO,RISCO ALTO PLUS,,A TARDE,,Branco,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,LESTE,10,SEMI-NOVO,RISCO ALTO PLUS,,PELA MANHA,,Branco,MOTO,Roubo Veiculo
VIA PUBLICA,LESTE,8,SEMI-NOVO,RISCO ALTO PLUS,,A TARDE,,Verde,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,SUL,10,SEMI-VELHO,RISCO ALTO PLUS,,A TARDE,,Preta,AUTOMOVEL,Roubo Veiculo
