PERIDOOCORRENCIA	DESCRICAOLOCAL	IDADE	doloso	doloso(kNN)	Selected
discrete	discrete	continuous	discrete	discrete	discrete
			class	meta	meta
A TARDE	Favela		nao	sim	No
A NOITE	Rodovia/Estrada		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
DE MADRUGADA	Via pública		sim	nao	No
DE MADRUGADA	Residência		sim	nao	No
DE MADRUGADA	Residência		sim	nao	No
A NOITE	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
A TARDE	Via pública		sim	nao	No
A TARDE	Via pública		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
A NOITE	Rodovia/Estrada		sim	nao	No
A NOITE	Rodovia/Estrada		sim	nao	No
A NOITE	Rodovia/Estrada		sim	nao	No
A NOITE	Rodovia/Estrada		sim	nao	No
A NOITE	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
PELA MANHÃ	Area não ocupada		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
A TARDE	Via pública		sim	nao	No
PELA MANHÃ	Area não ocupada		sim	nao	No
A TARDE	Area não ocupada		sim	nao	No
A NOITE	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
A TARDE	Residência		sim	nao	No
A TARDE	Residência		sim	nao	No
A TARDE	Residência		sim	nao	No
A TARDE	Residência		sim	nao	No
A TARDE	Residência		sim	nao	No
A TARDE	Residência		sim	nao	No
A TARDE	Residência		sim	nao	No
DE MADRUGADA	Via pública		sim	nao	No
DE MADRUGADA	Via pública		sim	nao	No
PELA MANHÃ	Rodovia/Estrada		sim	nao	No
PELA MANHÃ	Via pública	28.0	sim	nao	No
PELA MANHÃ	Via pública	28.0	sim	nao	No
PELA MANHÃ	Via pública	28.0	sim	nao	No
PELA MANHÃ	Via pública	28.0	sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
PELA MANHÃ	Via pública	28.0	sim	nao	No
PELA MANHÃ	Via pública	28.0	sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
PELA MANHÃ	Area não ocupada		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
DE MADRUGADA	Via pública		sim	nao	No
DE MADRUGADA	Residência		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
A TARDE	Via pública		sim	nao	No
A TARDE	Via pública		sim	nao	No
A NOITE	Via pública	29.0	sim	nao	No
A NOITE	Via pública	29.0	sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
PELA MANHÃ	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
A NOITE	Via pública		sim	nao	No
DE MADRUGADA	Via pública		sim	nao	No
PELA MANHÃ	Area não ocupada		sim	nao	No
PELA MANHÃ	Area não ocupada		sim	nao	No
A NOITE	Via pública		sim	nao	No
