vl_launch_value	nu_installments	dt_reference	day_reference	month_reference	year_reference	tp_installment	id_allocation	id_classification	id_subclassification	predeiction
continuous	discrete	time	continuous	continuous	continuous	discrete	discrete	discrete	continuous	discrete
										
350.0	1	2017-02-05	5.0	2.0	2017.0	2	8	9	182.0	
5.48	1	2017-07-21	21.0	7.0	2017.0	2	8	30	125.0	
17.0	1	2017-01-30	30.0	1.0	2017.0	2	8	20	69.0	
350.0	1	2017-02-05	5.0	2.0	2017.0	2	8	83	181.0	
34.76	1	2017-10-18	18.0	10.0	2017.0	2	8	20	69.0	
1250.0	1	2017-02-05	5.0	2.0	2017.0	2	8	28	117.0	
182.84	1	2017-06-20	20.0	6.0	2017.0	2	8	20	62.0	
169.76	1	2017-10-18	18.0	10.0	2017.0	2	8	20	61.0	
1250.0	1	2017-06-09	9.0	6.0	2017.0	2	8	28	117.0	
1428.0	1	2018-02-19	19.0	2.0	2018.0	2	9	16	46.0	
20.0	1	2017-01-30	30.0	1.0	2017.0	2	8	20	70.0	
5.48	1	2017-06-03	3.0	6.0	2017.0	2	8	26	354.0	
500.0	1	2017-02-05	5.0	2.0	2017.0	2	8	9	182.0	
57.39	1	2017-06-21	21.0	6.0	2017.0	2	8	20	69.0	
21.56	1	2017-10-02	2.0	10.0	2017.0	2	8	20	72.0	
3379.29	1	2017-06-13	13.0	6.0	2017.0	2	8	25	102.0	
643.43	1	2017-06-27	27.0	6.0	2017.0	2	8	12	184.0	
243.75	1	2017-06-01	1.0	6.0	2017.0	2	8	20	61.0	
1250.0	1	2017-07-29	29.0	7.0	2017.0	2	8	28	117.0	
64.37	1	2017-02-05	5.0	2.0	2017.0	2	8	20	68.0	
200.0	1	2017-06-29	29.0	6.0	2017.0	2	8	83	181.0	
313.9	1	2017-02-05	5.0	2.0	2017.0	2	8	20	61.0	
72.2	1	2017-06-01	1.0	6.0	2017.0	2	8	20	70.0	
171.2	1	2017-10-18	18.0	10.0	2017.0	2	8	20	62.0	
28.0	1	2017-03-24	24.0	3.0	2017.0	2	10	20	80.0	
53.8	1	2017-01-30	30.0	1.0	2017.0	2	8	20	72.0	
21.56	1	2017-02-05	5.0	2.0	2017.0	2	8	20	72.0	
180.12	1	2017-07-21	21.0	7.0	2017.0	2	8	20	62.0	
6.09	1	2017-01-30	30.0	1.0	2017.0	2	8	20	69.0	
80.0	1	2017-06-19	19.0	6.0	2017.0	2	8	20	69.0	
21700.0	1	2017-06-01	1.0	6.0	2017.0	2	8	28	117.0	
9.0	1	2017-02-05	5.0	2.0	2017.0	2	8	20	69.0	
56.0	1	2017-03-24	24.0	3.0	2017.0	2	10	20	80.0	
200.0	1	2017-06-29	29.0	6.0	2017.0	2	8	9	182.0	
21.56	1	2017-06-21	21.0	6.0	2017.0	2	8	20	72.0	
928.74	1	2017-03-24	24.0	3.0	2017.0	2	10	20	80.0	
41.99	1	2017-06-01	1.0	6.0	2017.0	2	8	20	69.0	
51.65	1	2017-10-02	2.0	10.0	2017.0	2	8	20	69.0	
655.44	1	2018-02-19	19.0	2.0	2018.0	2	8	25	108.0	
200.0	1	2017-01-30	30.0	1.0	2017.0	2	8	83	181.0	
