vl_launch_value	nu_installments	dt_reference	day_reference	month_reference	year_reference	tp_installment	id_allocation	id_classification	id_subclassification
continuous	discrete	time	continuous	continuous	continuous	discrete	discrete	discrete	continuous
									
2847.95	1	2018-05-21	21.0	5.0	2018.0	2	8	25	102.0
700.0	1	2018-05-15	15.0	5.0	2018.0	2	8	16	48.0
700.0	1	2018-05-15	15.0	5.0	2018.0	2	8	16	48.0
700.0	1	2018-05-15	15.0	5.0	2018.0	2	8	16	48.0
700.0	1	2018-05-15	15.0	5.0	2018.0	2	8	16	48.0
100.0	1	2018-05-15	15.0	5.0	2018.0	2	8	16	48.0
700.0	1	2018-05-15	15.0	5.0	2018.0	2	8	16	48.0
233.8	1	2018-05-15	15.0	5.0	2018.0	2	8	20	81.0
76.5	1	2018-05-15	15.0	5.0	2018.0	2	8	16	53.0
23000.0	1	2018-05-15	15.0	5.0	2018.0	2	180	30	124.0
1428.0	1	2018-05-15	15.0	5.0	2018.0	2	9	16	46.0
732.64	1	2018-05-15	15.0	5.0	2018.0	2	8	16	46.0
39.0	1	2018-05-15	15.0	5.0	2018.0	2	8	20	80.0
229.0	1	2018-05-21	21.0	5.0	2018.0	2	8	20	68.0
15.0	1	2018-05-29	29.0	5.0	2018.0	2	8	20	81.0
242.07	1	2018-05-22	22.0	5.0	2018.0	2	8	20	61.0
399.37	1	2018-05-22	22.0	5.0	2018.0	2	8	20	61.0
200.0	1	2018-05-24	24.0	5.0	2018.0	2	8	20	80.0
39.0	1	2018-05-24	24.0	5.0	2018.0	2	8	20	80.0
2500.0	1	2018-05-24	24.0	5.0	2018.0	2	8	28	117.0
699.9	1	2018-05-24	24.0	5.0	2018.0	2	10	20	80.0
172.26	1	2018-05-25	25.0	5.0	2018.0	2	8	20	62.0
30.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	139.0
552.0	1	2018-04-27	27.0	4.0	2018.0	2	8	9	183.0
637.18	1	2018-05-18	18.0	5.0	2018.0	2	8	25	108.0
8963.44	1	2018-05-14	14.0	5.0	2018.0	2	8	28	117.0
17341.0	1	2018-05-18	18.0	5.0	2018.0	2	180	30	124.0
552.0	1	2018-05-18	18.0	5.0	2018.0	2	8	9	183.0
3740.0	1	2018-05-18	18.0	5.0	2018.0	2	8	16	35.0
2804.0	1	2018-05-18	18.0	5.0	2018.0	2	8	16	36.0
26148.5	1	2018-05-24	24.0	5.0	2018.0	2	8	28	117.0
1288.0	1	2018-05-18	18.0	5.0	2018.0	2	10	16	36.0
1050.0	1	2018-05-18	18.0	5.0	2018.0	2	8	16	48.0
99.0	1	2018-05-22	22.0	5.0	2018.0	2	8	20	68.0
150.0	1	2018-05-29	29.0	5.0	2018.0	2	10	28	117.0
2056.73	1	2018-05-18	18.0	5.0	2018.0	2	8	25	109.0
505.99	1	2018-05-22	22.0	5.0	2018.0	2	8	20	68.0
673.64	1	2018-05-22	22.0	5.0	2018.0	2	8	20	68.0
3608.38	1	2018-01-16	16.0	1.0	2018.0	2	8	25	102.0
30.0	1	2017-08-19	19.0	8.0	2017.0	2	8	16	651.0
79.9	1	2018-02-19	19.0	2.0	2018.0	2	10	20	80.0
374.93	1	2018-02-19	19.0	2.0	2018.0	2	9	250	361.0
1839.55	1	2018-02-19	19.0	2.0	2018.0	2	8	250	361.0
700.0	1	2017-08-19	19.0	8.0	2017.0	2	8	16	48.0
28.0	1	2017-08-19	19.0	8.0	2017.0	2	8	20	80.0
2000.0	1	2017-08-19	19.0	8.0	2017.0	2	10	28	117.0
30.0	1	2017-10-02	2.0	10.0	2017.0	2	8	16	
150.0	1	2017-08-19	19.0	8.0	2017.0	2	10	20	81.0
449.5	1	2018-05-22	22.0	5.0	2018.0	2	8	20	68.0
120.0	1	2018-05-21	21.0	5.0	2018.0	2	8	83	181.0
73.4	1	2018-05-21	21.0	5.0	2018.0	2	8	26	111.0
450.0	1	2018-05-18	18.0	5.0	2018.0	2	8	20	79.0
650.0	1	2018-05-24	24.0	5.0	2018.0	2	10	28	117.0
700.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	48.0
700.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	48.0
3740.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	35.0
2804.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	36.0
1277.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	36.0
1050.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	48.0
700.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	48.0
700.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	48.0
3740.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	35.0
200.0	1	2018-05-14	14.0	5.0	2018.0	2	8	83	181.0
150.0	1	2018-05-14	14.0	5.0	2018.0	2	8	83	181.0
3740.0	1	2018-05-14	14.0	5.0	2018.0	2	8	16	35.0
1600.0	1	2018-05-14	14.0	5.0	2018.0	2	8	19	56.0
700.0	1	2018-05-18	18.0	5.0	2018.0	2	10	16	48.0
700.0	1	2018-05-18	18.0	5.0	2018.0	2	8	16	48.0
700.0	1	2018-05-18	18.0	5.0	2018.0	2	8	16	48.0
700.0	1	2018-05-18	18.0	5.0	2018.0	2	8	16	48.0
700.0	1	2018-05-18	18.0	5.0	2018.0	2	8	16	48.0
100.0	1	2018-05-18	18.0	5.0	2018.0	2	8	20	81.0
40.0	1	2018-05-21	21.0	5.0	2018.0	2	10	20	80.0
189.0	1	2018-05-22	22.0	5.0	2018.0	2	8	20	80.0
9037.5	1	2018-05-24	24.0	5.0	2018.0	2	8	28	117.0
924.16	1	2018-04-27	27.0	4.0	2018.0	2	8	16	41.0
200.0	1	2018-05-14	14.0	5.0	2018.0	2	8	9	182.0
924.16	1	2018-05-18	18.0	5.0	2018.0	2	8	16	41.0
39.0	1	2018-05-21	21.0	5.0	2018.0	2	10	20	80.0
69.75	1	2018-05-21	21.0	5.0	2018.0	2	8	20	80.0
2236.0	1	2018-05-24	24.0	5.0	2018.0	2	9	16	36.0
1047.0	1	2018-05-24	24.0	5.0	2018.0	2	9	16	36.0
1809.0	1	2018-05-24	24.0	5.0	2018.0	2	9	16	36.0
1139.0	1	2018-05-24	24.0	5.0	2018.0	2	9	16	36.0
594.0	1	2018-02-19	19.0	2.0	2018.0	2	8	20	82.0
700.0	1	2017-08-19	19.0	8.0	2017.0	2	8	16	48.0
700.0	1	2018-02-19	19.0	2.0	2018.0	2	8	16	48.0
28.0	1	2018-02-19	19.0	2.0	2018.0	2	10	20	80.0
